MeSH Term,Score,Total Theme Term Publication,Total Theme Publication,Total Term Publication,Total Publication
"Adaptor Proteins, Signal Transducing",0.07351003921009008,1,226,17,1046
Mood Disorders,0.07351003921009008,1,226,17,1046
Body Weight Changes,0.07351003921009008,1,226,17,1046
Genitalia,0.07351003921009008,1,226,17,1046
Social Sciences,0.07364143215252976,25,226,102,1046
Hemic and Lymphatic Diseases,0.07382185339809447,3,226,28,1046
Urogenital System,0.07382185339809447,3,226,28,1046
Transcription Factors,0.07530106237386025,4,226,33,1046
Diagnostic Techniques and Procedures,0.07759547254660394,41,226,189,1046
Young Adult,0.07810817875823414,34,226,149,1046
Obesity,0.07872393563180916,9,226,29,1046
Patient Acuity,0.07872393563180916,9,226,29,1046
Central Nervous System Agents,0.08062643163268969,11,226,38,1046
"Tomography, X-Ray",0.08094316574348759,4,226,9,1046
Binding Sites,0.08094316574348759,4,226,9,1046
Records,0.08094316574348759,4,226,9,1046
"Respiration, Artificial",0.08094316574348759,4,226,9,1046
Medical Records,0.08094316574348759,4,226,9,1046
Self Concept,0.08094316574348759,4,226,9,1046
Eye Diseases,0.08094316574348759,4,226,9,1046
Intellectual Disability,0.08094316574348759,4,226,9,1046
Personality Development,0.08094316574348759,4,226,9,1046
"Tomography, X-Ray Computed",0.08094316574348759,4,226,9,1046
Neuroimaging,0.08158692223789782,2,226,22,1046
Cell Line,0.0843777689930212,3,226,27,1046
Disease Attributes,0.08472233854322522,4,226,32,1046
Evidence-Based Practice,0.08610221443140285,5,226,13,1046
Communication,0.08621728487118381,6,226,17,1046
"Social Control, Formal",0.08621728487118381,6,226,17,1046
"Infant, Newborn",0.08805712374905478,30,226,139,1046
Middle Aged,0.08832441651276818,21,226,107,1046
Health Status Indicators,0.08846628530053004,9,226,30,1046
Psychophysiology,0.08852359855186588,1,226,16,1046
Premature Birth,0.08852359855186588,1,226,16,1046
Pain,0.08852359855186588,1,226,16,1046
"Obstetric Labor, Premature",0.08852359855186588,1,226,16,1046
Body Constitution,0.09285665790151311,5,226,36,1046
Genotype,0.09392904307163061,14,226,54,1046
Blood Proteins,0.09488527984703897,4,226,31,1046
Anti-Infective Agents,0.0949115824467657,2,226,21,1046
Hormones,0.09598809354287648,3,226,26,1046
"Hormones, Hormone Substitutes, and Hormone Antagonists",0.09598809354287648,3,226,26,1046
Carrier Proteins,0.09598809354287648,3,226,26,1046
Gene Components,0.09693236266672614,3,226,6,1046
"Neoplasms, Neuroepithelial",0.09693236266672614,3,226,6,1046
Behavior Therapy,0.09693236266672614,3,226,6,1046
Respiration Disorders,0.09693236266672614,3,226,6,1046
Indoles,0.09693236266672614,3,226,6,1046
Extremities,0.09693236266672614,3,226,6,1046
"Hypersensitivity, Immediate",0.09693236266672614,3,226,6,1046
"Antibodies, Monoclonal, Humanized",0.09693236266672614,3,226,6,1046
"Analgesics, Opioid",0.09693236266672614,3,226,6,1046
Clinical Medicine,0.09693236266672614,3,226,6,1046
Narcotics,0.09693236266672614,3,226,6,1046
Precision Medicine,0.09693236266672614,3,226,6,1046
Enteral Nutrition,0.09693236266672614,3,226,6,1046
Disability Evaluation,0.09693236266672614,3,226,6,1046
Quality of Life,0.09727281109865324,7,226,22,1046
Neoplasms by Histologic Type,0.09727281109865324,7,226,22,1046
"Diet, Food, and Nutrition",0.09915091218119274,8,226,49,1046
Parents,0.10120147778167952,10,226,36,1046
Genetic Techniques,0.10166851174384743,17,226,71,1046
Biology,0.10167606918482174,6,226,18,1046
Genetic Variation,0.1022343552926714,15,226,78,1046
Health Personnel,0.10367074649783728,8,226,27,1046
Central Nervous System Diseases,0.1045635759383995,17,226,72,1046
Diagnostic Imaging,0.1045635759383995,17,226,72,1046
Male Urogenital Diseases,0.1052823463113034,5,226,14,1046
"Trauma, Nervous System",0.1052823463113034,5,226,14,1046
Professional Practice,0.1052823463113034,5,226,14,1046
Craniocerebral Trauma,0.1052823463113034,5,226,14,1046
Amines,0.1052823463113034,5,226,14,1046
Vital Statistics,0.10534619190600157,18,226,88,1046
Patient Compliance,0.10602487959007133,4,226,10,1046
Respiratory Therapy,0.10602487959007133,4,226,10,1046
Thoracic Surgical Procedures,0.10602487959007133,4,226,10,1046
"Polymorphism, Single Nucleotide",0.10602487959007133,4,226,10,1046
Mothers,0.10615830114799983,1,226,15,1046
"Animals, Laboratory",0.10615830114799983,1,226,15,1046
"Mice, Inbred Strains",0.10615830114799983,1,226,15,1046
Depressive Disorder,0.10615830114799983,1,226,15,1046
"Animals, Inbred Strains",0.10615830114799983,1,226,15,1046
Clinical Laboratory Techniques,0.10862462832953866,15,226,76,1046
Government,0.10961691887732843,2,226,3,1046
Integumentary System,0.10961691887732843,2,226,3,1046
Neurofibromatosis 1,0.10961691887732843,2,226,3,1046
Lower Extremity,0.10961691887732843,2,226,3,1046
"Psychology, Applied",0.10961691887732843,2,226,3,1046
Dopamine Antagonists,0.10961691887732843,2,226,3,1046
Infection Control,0.10961691887732843,2,226,3,1046
Adrenergic Agonists,0.10961691887732843,2,226,3,1046
Informed Consent,0.10961691887732843,2,226,3,1046
Healthy Diet,0.10961691887732843,2,226,3,1046
Medical Audit,0.10961691887732843,2,226,3,1046
Oxygenases,0.10961691887732843,2,226,3,1046
Adrenergic alpha-Agonists,0.10961691887732843,2,226,3,1046
Child Health,0.10961691887732843,2,226,3,1046
United States Government Agencies,0.10961691887732843,2,226,3,1046
Television,0.10961691887732843,2,226,3,1046
"Regulatory Elements, Transcriptional",0.10961691887732843,2,226,3,1046
"Quality Indicators, Health Care",0.10961691887732843,2,226,3,1046
Basal Ganglia Diseases,0.10961691887732843,2,226,3,1046
Heart Arrest,0.10961691887732843,2,226,3,1046
Pain Management,0.10961691887732843,2,226,3,1046
Propofol,0.10961691887732843,2,226,3,1046
"Anesthesia, General",0.10961691887732843,2,226,3,1046
Observer Variation,0.10961691887732843,2,226,3,1046
"Ethics, Research",0.10961691887732843,2,226,3,1046
Spatial Analysis,0.10961691887732843,2,226,3,1046
United States Public Health Service,0.10961691887732843,2,226,3,1046
Cleft Lip,0.10961691887732843,2,226,3,1046
Neuromuscular Diseases,0.10961691887732843,2,226,3,1046
Lip Diseases,0.10961691887732843,2,226,3,1046
Hair,0.10961691887732843,2,226,3,1046
Spinal Diseases,0.10961691887732843,2,226,3,1046
Clinical Audit,0.10961691887732843,2,226,3,1046
"Blood Loss, Surgical",0.10961691887732843,2,226,3,1046
Spinal Curvatures,0.10961691887732843,2,226,3,1046
Skull,0.10961691887732843,2,226,3,1046
Health Care Costs,0.10961691887732843,2,226,3,1046
Needs Assessment,0.10961691887732843,2,226,3,1046
Respiratory Insufficiency,0.10961691887732843,2,226,3,1046
"Tomography, Emission-Computed",0.10961691887732843,2,226,3,1046
Checklist,0.10961691887732843,2,226,3,1046
Patient Reported Outcome Measures,0.10961691887732843,2,226,3,1046
United States Dept. of Health and Human Services,0.10961691887732843,2,226,3,1046
DNA-Binding Proteins,0.1098566909047174,2,226,20,1046
Practice Guidelines as Topic,0.10992468856760038,7,226,23,1046
Psychological Phenomena,0.11152410675254555,17,226,81,1046
Severity of Illness Index,0.11408869001243839,8,226,28,1046
Central Nervous System Depressants,0.11408869001243839,8,226,28,1046
Health Facilities,0.11483829464060134,12,226,48,1046
"Heterocyclic Compounds, Fused-Ring",0.11628709707869579,10,226,38,1046
"Genetic Diseases, Inborn",0.11680118333772697,6,226,19,1046
Heterocyclic Compounds,0.11701961240477424,13,226,66,1046
Health Care Economics and Organizations,0.11836154743118785,12,226,62,1046
Mental Processes,0.11944611425354021,11,226,58,1046
Signs and Symptoms,0.11948438962161076,15,226,70,1046
Family,0.12078089979252818,13,226,55,1046
Guidelines as Topic,0.12196577486058403,7,226,24,1046
Economics,0.12228733864266209,3,226,24,1046
Prospective Studies,0.12367935776635725,11,226,57,1046
Decision Making,0.12410462624777188,5,226,15,1046
"Health Knowledge, Attitudes, Practice",0.12410462624777188,5,226,15,1046
Occupational Groups,0.12410462624777188,5,226,15,1046
Sociology,0.12612770740675194,11,226,45,1046
Death,0.1264514811995396,2,226,19,1046
"Mice, Inbred C57BL",0.12670591780142929,1,226,14,1046
Membrane Transport Proteins,0.12670591780142929,1,226,14,1046
Fluids and Secretions,0.12670591780142929,1,226,14,1046
Tomography,0.1267977987187306,8,226,45,1046
Morbidity,0.12741483683382976,13,226,61,1046
Epidemiologic Factors,0.1277980734907353,12,226,59,1046
Body Size,0.129257799213058,4,226,28,1046
Nutrition Therapy,0.1309082696979452,4,226,11,1046
Prenatal Exposure Delayed Effects,0.1309082696979452,4,226,11,1046
Parent-Child Relations,0.1309082696979452,4,226,11,1046
"Infant, Newborn, Diseases",0.1309082696979452,4,226,11,1046
Nervous System Neoplasms,0.1309082696979452,4,226,11,1046
Prenatal Injuries,0.1309082696979452,4,226,11,1046
Whole Genome Sequencing,0.13325869761803047,3,226,7,1046
"Neoplasms, Glandular and Epithelial",0.13325869761803047,3,226,7,1046
Proportional Hazards Models,0.13325869761803047,3,226,7,1046
Molecular Structure,0.13419161863751686,7,226,40,1046
Behavioral Disciplines and Activities,0.13581378704950062,11,226,48,1046
Base Sequence,0.13682806750314114,3,226,23,1046
Physical Phenomena,0.14113978527599405,9,226,46,1046
Age Factors,0.14147594159084145,7,226,39,1046
Prognosis,0.14165301745628905,4,226,27,1046
Chemically-Induced Disorders,0.14182135227679424,5,226,16,1046
Nuclear Family,0.14229163346156204,9,226,37,1046
Logistic Models,0.14306668212791346,7,226,26,1046
"Heart Defects, Congenital",0.14420091314728037,6,226,21,1046
Neurologic Manifestations,0.14424605267708696,10,226,45,1046
Body Weight,0.14424605267708696,10,226,45,1046
Physiological Effects of Drugs,0.1445422622424689,10,226,46,1046
Immunoproteins,0.1446626136058624,2,226,18,1046
Analysis of Variance,0.1446626136058624,2,226,18,1046
Follow-Up Studies,0.14482530081796682,8,226,42,1046
Science,0.14701510652335503,8,226,32,1046
Research,0.14701510652335503,8,226,32,1046
Cesarean Section,0.1504184733164245,1,226,13,1046
Functional Neuroimaging,0.1504184733164245,1,226,13,1046
Computational Biology,0.1504184733164245,1,226,13,1046
Uterine Cervical Neoplasms,0.1504184733164245,1,226,13,1046
Molecular Conformation,0.1504184733164245,1,226,13,1046
"Infant, Premature",0.15210545635696304,3,226,22,1046
Body Weights and Measures,0.15355476867050302,5,226,30,1046
Immunoglobulins,0.1542365074503175,4,226,26,1046
Genomics,0.1542440916875789,4,226,12,1046
Diet,0.1542440916875789,4,226,12,1046
Referral and Consultation,0.1542440916875789,4,226,12,1046
Inorganic Chemicals,0.1545231900741168,7,226,37,1046
"Diagnostic Techniques, Cardiovascular",0.15780493995653327,5,226,17,1046
Thinking,0.15780493995653327,5,226,17,1046
Diabetes Mellitus,0.15780493995653327,5,226,17,1046
Digestive System Diseases,0.15900783681343125,8,226,35,1046
Time,0.15921455127224862,6,226,33,1046
Nutritional Physiological Phenomena,0.15930896776471756,8,226,38,1046
Regression Analysis,0.16035593208103135,8,226,36,1046
Mortality,0.16348953071388356,5,226,29,1046
Elements,0.16437027401013932,2,226,17,1046
Vaccination,0.16437027401013932,2,226,17,1046
"Immunotherapy, Active",0.16437027401013932,2,226,17,1046
DNA Viruses,0.16437027401013932,2,226,17,1046
Continental Population Groups,0.16437027401013932,2,226,17,1046
Human Development,0.16437027401013932,2,226,17,1046
Child Development,0.16437027401013932,2,226,17,1046
Antibodies,0.16676905893660499,4,226,25,1046
Metabolic Diseases,0.16676905893660499,4,226,25,1046
"Intensive Care Units, Neonatal",0.16745193032733455,3,226,8,1046
"Renal Insufficiency, Chronic",0.16745193032733455,3,226,8,1046
"Antibodies, Monoclonal",0.16745193032733455,3,226,8,1046
Nutritional Support,0.16745193032733455,3,226,8,1046
Radiography,0.16745193032733455,3,226,8,1046
Psychotherapy,0.16745193032733455,3,226,8,1046
High-Throughput Nucleotide Sequencing,0.16745193032733455,3,226,8,1046
Overnutrition,0.16789014750350575,3,226,21,1046
Immune System Diseases,0.17015732899553018,7,226,33,1046
Mechanical Phenomena,0.1721500605187574,2,226,4,1046
Anesthetics,0.1721500605187574,2,226,4,1046
Retinal Diseases,0.1721500605187574,2,226,4,1046
Injections,0.1721500605187574,2,226,4,1046
Delphi Technique,0.1721500605187574,2,226,4,1046
Mouth Diseases,0.1721500605187574,2,226,4,1046
"Recombination, Genetic",0.1721500605187574,2,226,4,1046
Students,0.1721500605187574,2,226,4,1046
Heart Ventricles,0.1721500605187574,2,226,4,1046
Eye,0.1721500605187574,2,226,4,1046
"Imaging, Three-Dimensional",0.1721500605187574,2,226,4,1046
Patient Satisfaction,0.1721500605187574,2,226,4,1046
Stomatognathic Diseases,0.1721500605187574,2,226,4,1046
Accelerometry,0.1721500605187574,2,226,4,1046
Trauma Severity Indices,0.1721500605187574,2,226,4,1046
Digestive System Abnormalities,0.1721500605187574,2,226,4,1046
Antihypertensive Agents,0.1721500605187574,2,226,4,1046
Allelic Imbalance,0.1721500605187574,2,226,4,1046
Retinal Degeneration,0.1721500605187574,2,226,4,1046
Teaching Materials,0.1721500605187574,2,226,4,1046
Alkaloids,0.1721500605187574,2,226,4,1046
Amino Alcohols,0.1721500605187574,2,226,4,1046
Hypertension,0.1721500605187574,2,226,4,1046
Time Factors,0.17257278874042262,6,226,31,1046
Renal Insufficiency,0.1749624577535013,4,226,13,1046
Environmental Pollution,0.17746433554342447,1,226,12,1046
Pregnancy Trimesters,0.17746433554342447,1,226,12,1046
Parturition,0.17746433554342447,1,226,12,1046
Fatty Acids,0.17746433554342447,1,226,12,1046
Polycyclic Compounds,0.17746433554342447,1,226,12,1046
Body Mass Index,0.1789598771448708,4,226,24,1046
Sensitivity and Specificity,0.18231247424800243,6,226,26,1046
Respiratory Tract Diseases,0.18231247424800243,6,226,26,1046
Learning,0.18278969932814285,5,226,19,1046
Molecular Mechanisms of Pharmacological Action,0.18346727714492528,6,226,28,1046
Neoplasm Proteins,0.18533942004500456,2,226,16,1046
Patient Acceptance of Health Care,0.18533942004500456,2,226,16,1046
Continuity of Patient Care,0.18533942004500456,2,226,16,1046
Antipsychotic Agents,0.18533942004500456,2,226,16,1046
Viral Vaccines,0.18533942004500456,2,226,16,1046
Tranquilizing Agents,0.18533942004500456,2,226,16,1046
Population Groups,0.18855847368894885,5,226,26,1046
Epidemiologic Measurements,0.18855847368894885,5,226,26,1046
Gastrointestinal Diseases,0.19046603653683192,4,226,23,1046
Cardiovascular System,0.19046603653683192,4,226,23,1046
Clinical Studies as Topic,0.19127360942354188,5,226,20,1046
Endocrine System Diseases,0.19127360942354188,5,226,20,1046
Kidney Diseases,0.19230626769925013,4,226,14,1046
Genetic Counseling,0.19230626769925013,4,226,14,1046
Genetic Services,0.19230626769925013,4,226,14,1046
"Metabolism, Inborn Errors",0.19230626769925013,4,226,14,1046
Prevalence,0.1943693381906131,5,226,25,1046
Cost-Benefit Analysis,0.19721578499534342,3,226,9,1046
Cerebrovascular Disorders,0.19721578499534342,3,226,9,1046
Craniofacial Abnormalities,0.19721578499534342,3,226,9,1046
Multiple Sclerosis,0.19721578499534342,3,226,9,1046
ROC Curve,0.19721578499534342,3,226,9,1046
Serotonin Uptake Inhibitors,0.19721578499534342,3,226,9,1046
Hypersensitivity,0.19721578499534342,3,226,9,1046
Serotonin Agents,0.19721578499534342,3,226,9,1046
Autoimmune Diseases of the Nervous System,0.19721578499534342,3,226,9,1046
"Diabetes Mellitus, Type 1",0.19721578499534342,3,226,9,1046
Jurisprudence,0.19721578499534342,3,226,9,1046
Cardiac Surgical Procedures,0.19721578499534342,3,226,9,1046
Organizations,0.19839746679730996,5,226,24,1046
Digestive System,0.1996381593730708,3,226,19,1046
"Models, Statistical",0.19994420790050652,5,226,22,1046
Genetic Predisposition to Disease,0.20034557159909153,5,226,23,1046
Behavioral Symptoms,0.20089489357370713,4,226,22,1046
Personality,0.2058246258408993,4,226,15,1046
Environment,0.20718627547472085,2,226,15,1046
Lung Diseases,0.20718627547472085,2,226,15,1046
DNA,0.20718627547472085,2,226,15,1046
Epilepsy,0.20786331894669627,1,226,11,1046
DNA Virus Infections,0.20786331894669627,1,226,11,1046
Population,0.20786331894669627,1,226,11,1046
Environmental Exposure,0.20786331894669627,1,226,11,1046
Protein Conformation,0.20786331894669627,1,226,11,1046
Survival Analysis,0.20786331894669627,1,226,11,1046
Mammals,0.20981041471951187,222,226,1025,1046
Body Regions,0.21468770482956973,3,226,18,1046
Autoimmune Diseases,0.21534060433920146,4,226,16,1046
Adolescent Health Services,0.21606118546845124,1,226,1,1046
Preoperative Period,0.21606118546845124,1,226,1,1046
Cell Surface Extensions,0.21606118546845124,1,226,1,1046
Ketoses,0.21606118546845124,1,226,1,1046
Mitochondrial Encephalomyopathies,0.21606118546845124,1,226,1,1046
Systems Analysis,0.21606118546845124,1,226,1,1046
Post-Exposure Prophylaxis,0.21606118546845124,1,226,1,1046
Ergotamines,0.21606118546845124,1,226,1,1046
Ascitic Fluid,0.21606118546845124,1,226,1,1046
Betahistine,0.21606118546845124,1,226,1,1046
"Histiocytosis, Langerhans-Cell",0.21606118546845124,1,226,1,1046
Dorsal Raphe Nucleus,0.21606118546845124,1,226,1,1046
Friends,0.21606118546845124,1,226,1,1046
Government Agencies,0.21606118546845124,1,226,1,1046
Interferon Type I,0.21606118546845124,1,226,1,1046
National Institutes of Health (U.S.),0.21606118546845124,1,226,1,1046
Fumarates,0.21606118546845124,1,226,1,1046
Cochlear Implantation,0.21606118546845124,1,226,1,1046
Surgeons,0.21606118546845124,1,226,1,1046
Cerebral Intraventricular Hemorrhage,0.21606118546845124,1,226,1,1046
Pronation,0.21606118546845124,1,226,1,1046
Ergonomics,0.21606118546845124,1,226,1,1046
Temporal Bone,0.21606118546845124,1,226,1,1046
Wound Infection,0.21606118546845124,1,226,1,1046
Fluvoxamine,0.21606118546845124,1,226,1,1046
"Tomography, Emission-Computed, Single-Photon",0.21606118546845124,1,226,1,1046
Meniere Disease,0.21606118546845124,1,226,1,1046
Resistance Training,0.21606118546845124,1,226,1,1046
Brain Edema,0.21606118546845124,1,226,1,1046
Gambling,0.21606118546845124,1,226,1,1046
Surgical Mesh,0.21606118546845124,1,226,1,1046
Expert Testimony,0.21606118546845124,1,226,1,1046
Cranial Nerve Neoplasms,0.21606118546845124,1,226,1,1046
Cytochrome P-450 CYP2D6,0.21606118546845124,1,226,1,1046
Walking,0.21606118546845124,1,226,1,1046
Intergenerational Relations,0.21606118546845124,1,226,1,1046
Greenhouse Gases,0.21606118546845124,1,226,1,1046
Heart Transplantation,0.21606118546845124,1,226,1,1046
Cybernetics,0.21606118546845124,1,226,1,1046
Fracture Fixation,0.21606118546845124,1,226,1,1046
Seminiferous Tubules,0.21606118546845124,1,226,1,1046
Abdominal Wound Closure Techniques,0.21606118546845124,1,226,1,1046
Arthroscopy,0.21606118546845124,1,226,1,1046
Professional Practice Location,0.21606118546845124,1,226,1,1046
Benzhydryl Compounds,0.21606118546845124,1,226,1,1046
Global Warming,0.21606118546845124,1,226,1,1046
"Sarcoma, Ewing",0.21606118546845124,1,226,1,1046
Sulfadiazine,0.21606118546845124,1,226,1,1046
Multicenter Studies as Topic,0.21606118546845124,1,226,1,1046
Gastric Bypass,0.21606118546845124,1,226,1,1046
Prosthesis Implantation,0.21606118546845124,1,226,1,1046
Ethylene Glycols,0.21606118546845124,1,226,1,1046
Motivational Interviewing,0.21606118546845124,1,226,1,1046
Herpes Zoster Vaccine,0.21606118546845124,1,226,1,1046
Suicide,0.21606118546845124,1,226,1,1046
"Heart Septal Defects, Ventricular",0.21606118546845124,1,226,1,1046
Chickenpox Vaccine,0.21606118546845124,1,226,1,1046
Optic Nerve Neoplasms,0.21606118546845124,1,226,1,1046
Sertraline,0.21606118546845124,1,226,1,1046
Radiation Dosage,0.21606118546845124,1,226,1,1046
Climate Change,0.21606118546845124,1,226,1,1046
Single-Blind Method,0.21606118546845124,1,226,1,1046
Recovery of Function,0.21606118546845124,1,226,1,1046
Proxy,0.21606118546845124,1,226,1,1046
Surgical Wound Infection,0.21606118546845124,1,226,1,1046
Eye Infections,0.21606118546845124,1,226,1,1046
Dimethyl Fumarate,0.21606118546845124,1,226,1,1046
Personhood,0.21606118546845124,1,226,1,1046
Tegmentum Mesencephali,0.21606118546845124,1,226,1,1046
Nerve Compression Syndromes,0.21606118546845124,1,226,1,1046
Pneumothorax,0.21606118546845124,1,226,1,1046
Nurse Practitioners,0.21606118546845124,1,226,1,1046
Photography,0.21606118546845124,1,226,1,1046
Hemostatics,0.21606118546845124,1,226,1,1046
Leg Injuries,0.21606118546845124,1,226,1,1046
Eating,0.21606118546845124,1,226,1,1046
Hepatitis Viruses,0.21606118546845124,1,226,1,1046
Intracranial Hypertension,0.21606118546845124,1,226,1,1046
Cerebral Peduncle,0.21606118546845124,1,226,1,1046
Cardiac Imaging Techniques,0.21606118546845124,1,226,1,1046
Peak Expiratory Flow Rate,0.21606118546845124,1,226,1,1046
Tricuspid Valve,0.21606118546845124,1,226,1,1046
Femoracetabular Impingement,0.21606118546845124,1,226,1,1046
Dexamethasone,0.21606118546845124,1,226,1,1046
Nurses,0.21606118546845124,1,226,1,1046
Stilbenes,0.21606118546845124,1,226,1,1046
Phenylpropionates,0.21606118546845124,1,226,1,1046
Street Drugs,0.21606118546845124,1,226,1,1046
"Eye, Artificial",0.21606118546845124,1,226,1,1046
"Equipment and Supplies, Hospital",0.21606118546845124,1,226,1,1046
Environment Design,0.21606118546845124,1,226,1,1046
Sugars,0.21606118546845124,1,226,1,1046
Chi-Square Distribution,0.21606118546845124,1,226,1,1046
Benzylidene Compounds,0.21606118546845124,1,226,1,1046
Osteonecrosis,0.21606118546845124,1,226,1,1046
"Anesthesia, Conduction",0.21606118546845124,1,226,1,1046
"Osteoarthritis, Knee",0.21606118546845124,1,226,1,1046
Facial Bones,0.21606118546845124,1,226,1,1046
Suicidal Ideation,0.21606118546845124,1,226,1,1046
Circulating Tumor DNA,0.21606118546845124,1,226,1,1046
Bupropion,0.21606118546845124,1,226,1,1046
Cytochrome P450 Family 2,0.21606118546845124,1,226,1,1046
Neurosciences,0.21606118546845124,1,226,1,1046
"Harassment, Non-Sexual",0.21606118546845124,1,226,1,1046
"Genes, X-Linked",0.21606118546845124,1,226,1,1046
Herpes Zoster Ophthalmicus,0.21606118546845124,1,226,1,1046
Propiophenones,0.21606118546845124,1,226,1,1046
Cilia,0.21606118546845124,1,226,1,1046
Kidney Glomerulus,0.21606118546845124,1,226,1,1046
"Models, Anatomic",0.21606118546845124,1,226,1,1046
"Antineoplastic Agents, Hormonal",0.21606118546845124,1,226,1,1046
Raphe Nuclei,0.21606118546845124,1,226,1,1046
Osteoarthritis,0.21606118546845124,1,226,1,1046
Mianserin,0.21606118546845124,1,226,1,1046
Rewarming,0.21606118546845124,1,226,1,1046
Recombinases,0.21606118546845124,1,226,1,1046
Mirtazapine,0.21606118546845124,1,226,1,1046
Teratogens,0.21606118546845124,1,226,1,1046
Consumer Health Information,0.21606118546845124,1,226,1,1046
Bioethical Issues,0.21606118546845124,1,226,1,1046
Infant Care,0.21606118546845124,1,226,1,1046
Pulmonary Atresia,0.21606118546845124,1,226,1,1046
Mastoid,0.21606118546845124,1,226,1,1046
"Outpatient Clinics, Hospital",0.21606118546845124,1,226,1,1046
"DNA Barcoding, Taxonomic",0.21606118546845124,1,226,1,1046
Pseudotumor Cerebri,0.21606118546845124,1,226,1,1046
Carpal Tunnel Syndrome,0.21606118546845124,1,226,1,1046
Femur Head Necrosis,0.21606118546845124,1,226,1,1046
Bullying,0.21606118546845124,1,226,1,1046
"Anesthesia, Closed-Circuit",0.21606118546845124,1,226,1,1046
Anesthetists,0.21606118546845124,1,226,1,1046
Endolymphatic Hydrops,0.21606118546845124,1,226,1,1046
Palate,0.21606118546845124,1,226,1,1046
"Ventilators, Mechanical",0.21606118546845124,1,226,1,1046
Labyrinth Diseases,0.21606118546845124,1,226,1,1046
"Child, Hospitalized",0.21606118546845124,1,226,1,1046
Alopecia,0.21606118546845124,1,226,1,1046
Metabolic Side Effects of Drugs and Substances,0.21606118546845124,1,226,1,1046
Teratogenesis,0.21606118546845124,1,226,1,1046
